question,answer
" Is a bassoon a brass or a woodwind instrument
",Woodwind
" ""In the 1980's, which MP was known as """"The Chingford Skinhead""""?""
",Norman tebbitt
" The paramilitary group Alpha 66 was formed in Florida to oppose whom?
",Fidel Castro
" Of what did the poet John Milton die?
",Gout
" Which part of the body is removed during a glossectomy?
",Tongue
" What is the national airline of Portugal?
",Tap
" Who was the sister of the Emperor Augustus and great niece of Julius Caesar who married Mark Anthony?
",Octavia
" Who won the Best Supporting Actress in 1991 for the film 'Ghost'?
",Whoopi Goldberg
" What is the name of the Edinburgh pub favoured by Ian Rankin's Inspector Rebus?
",The Oxford Bar
" In which ballet does the Sugar Plum Fairy appear?
",Nutcracker
" What is given to a food additive approved for use in the European Union?
",An E-Number
" In Michaelangelo's painting on the Sistine Chapel ceiling, Adam's finger points to whom?
",God
" Based in Hexam Northumberland, the publishing company Bloodaxe Books specialises in what kind of literature?
",Poetry
" Which company produced the 'Playstation' video games console?
",Sony
" Which moon of the planet Jupiter shares its name with the alias of the character Rosalind when she disguises herself as a man in Shakespeare's As You like It?
",Ganymede
" What blues rocker is backed by The Destroyers?
",George Thorogood
" Of all the gameshows that were revived for a series of one-off specials in Ant And Dec's Gameshow Marathon which was the oldest?
",Take Your Pick
" What word is given to the association of dissimilar organisms for mutual benefit?
",Symbiosis
" Whose violin concerto in B Minor was composed for the violinist Fritz Kreisler?
",Edward elgar
" Which was the county town of Westmoreland?
",Appleby
" The FARC are the largest rebel group operating in which South American country?
",Colombia
" In which city in England is the National Railway Museum?
",York
" Which C C is an Oxford College founded in 1517? (Christ Church was not founded until 1546.)
",Corpus Christi
" The UK is to spend approximately £1 million before 2015 on Project Hougoumont, where is it to be spent?
",Waterloo
" Marilyn Monroe was born and died in the same American City which one?
",Los angeles
" What is the name given to fishing equipment
",Tackle
" What is the name of Israel's secret intelligence agency?
",Mossad
" The largest automobile magazine by circulation, what monthly rag publishes a yearly 10Best?
",Car and Driver
" Where are the almost the only mountainous areas near the African coast of the Red Sea?
",Ethiopia
" Which US state was the title of a no. 1 hit for Pussycat in 1976?
",Mississippi
" A Clifden Nonpareil is what type of creature?
",Moth
" Bornite and Azurite are ores of which metallic element?
",Copper
" Edgeware and Morden are termini of which London Underground line ?
",Northern
" The Dogon are a race of people resident in which African country?
",Mali
" Brideshead is the seat of which family in Evelyn Waugh's novel?
",Marchmain
" What, in Cambridgeshire, is known as 'the ship of the fens'?
",Ely cathedral
" Which Neopagan religion is often called ‘witchcraft’ or simply ‘the craft’?
",Wicca
" What word describes the ability to imagine and share another persons feelings and/or experiences?
",Empathy
" British monarchs are traditionally crowned in which London building?
",Westminster Abbey
" The ‘Tennis Court Oath’ was signed at the beginning of which revolution?
",French Revolution
" Which George Eliot character is a weaver in the village of Raveloe?
",Silas marner
" During the Wars of the Roses, Richard Duke of York (father of Richard III) was killed at which battle of 1460?
",Wakefield
" ""Who won a Best Actor Oscar for the 1996 film """"Shine""""?""
",Geoffrey Rush
" The air we breathe is made up of 78.09% of what gas?
",Nitrogen
" Which famous composer is depicted on the 1Euro coin issued by Austria?
",Mozart
" Who wrote The Russia House' in 1989?
",John le Carre
" Tahir Square is in which North African city?
",Cairo
" Which group of the 1970’s featured Tony Iommi on guitar, “Geezer” Butler on bass and Bill Ward on drums?
",Black Sabbath
" Which hi-tech company has its main assembly plant in Everett, Washington?
",Boeing
" What is the southern-most Australian state capital?
",Hobart
" What sort of creature is a ‘taipan’?
",snake
" Who commanded the Roman army that invaded Britain in 55BC?
",Julius Caesar
" Who was the last U.S. astronaut to go alone into space ?
",Gordon cooper
" Who was Clive Ponting accused of leaking information to during his 1985 secrets trial?
",Tam dalyell
" In 1895 German company Bayer created what genericized trademark for a diacetylmorphine cough suppressant, alluding to the Greek god/goddess of bravery and self-sacrifice?
",Heroin
" .ee is the top-level internet domain name for which former Soviet republic?
",Estonia
" ""Which vocalist and fim star is associated with the famous last words """"That was a great game of golf fellers""""?""
",Bing crosby
" Swansea City now play their home games at The Liberty Stadium. What was the name of their previous home venue?
",Vetch field
" ""In which musical would you hear the songs """"Too darn Hot"""" and """"Brush up your Shakespeare""""?""
",Kiss Me Kate
" What was the real first name of comedian Bud Flanagan?
",William
" Braeburn, Jazz, Gala, and Fuji are varieties of what?
",Apple
" Who scored five tries for Leeds in the 2015 Rugby League Challenge Cup Final?
",Tom briscoe
" Who is Rome's airport named after?
",Leonardo Da Vinci
" What word, also linked to President Kennedy's liking for a Broadway musical, was used for the first time in a 1963 Life magazine article to describe a 60's era?
",Camelot'
" Which former Pope was canonised alongside Pope John XXIII in April 2014?
",John Paul II
" Which scientist wrote a letter in 1704 in which he predicted the end of the world in 2060 after studying Biblical texts?
",Sir Isaac Newton
" October 27, 1858 saw the birth of what totally bad assed US president, the 26th, who spent time as a South Dakota rancher before becoming assistant Secretary of the Navy in 1899?
",Theodore Roosevelt
" The HQ of the International Olympic Committee is in which Swiss town or city?
",Lausanne
" What is the term in French cookery meaning to fry lightly and quickly in little or no oil?
",Sauté
" ""What film, in production between 2007 and 2009, is directed by James Cameron (""""Titanic"""")?""
",Avatar
" Who is the lead writer for 'Doctor Who', succeeding Russell T. Davies?
",Steven moffat
" What UK event did protest group Animal Aid describe in 2011 as 'straightforward animal abuse on a par with Spanish Bullfighting'?
",The Grand National
" When dissident Liu Xiaobo won the 2010 Nobel Peace Prize, a Chinese businessman proposed the creation of an equivalent prize to 'promote world peace from an Eastern perspective.' In whose name was the prize created? (hint: not Buddha)
",Confucius
" In 2014 and 2015 for which Formula 1 team did Felipe Massa drive?
",Williams
" A memorable phrase in the annals of American polity, who was called a 'bloviating ignoramus' by columnist George Will in 2012?
",Donald Trump
" What is the subject of the statue in Edinburgh called Greyfriars Bobby
",Dog
" Which 17 year old New Zealander won the 2014 Grammy for Song of the Year with 'Royals'?
",Lorde
" Since Ancient Rome, lime mortar (masonry cement) includes for reinforcement/moisture flexibility?
",Horse hair
" Which character did Betty White play in The Betty White Show?
",Joyce Whitman
" What breed of dog’s evidence is admissible in an American court?
",Bloodhound
" Which former 'Liverbird' went on to play The District Nurse' on T.V?
",Nerys Hughes
" Which famous doctor was found in Africa by a reporter called Henry Stanley
",Doctor Livingstone
" In which country were the first Olympic Games held in the Southern Hemisphere?
",Australia
" What was a tenth of a Roman Legion called?
",Cohort
" Who was pardoned 12 years after his execution for murders carried out by John Christie?
",Timothy evans
" During the Great, or Western, Schism from 1378, there were two or more Popes recognised in the Catholic Church. Who was elected in 1417 and eventually recognised by the majority as the single Pope?
",Martin V
" In which country was Trivial Pursuit invented?
",Canada
" Which battle was partly fought on Senlac Hill?
",Hastings
" The name of which chemical element means 'water-producing'?
",Hydrogen
" The expression 'sour grapes', from one of Aesop's Fables, involves which creature?
",Fox
" Complete the name of the US baseball team the Atlanta _______.
",Braves
" On 27 April 2010, the debt rating of which country was decreased to 'junk' status by Standard & Poor's, amidst fears of default by the government?
",Greece
" What is the currency of Iceland?
",Krona
" What is the capitol of Morocco?
",Rabat
" Who was Mr Ed's owner in the TV series featuring a talking horse?
",Wilbur
" According to superstition If your shoelace comes undone of its own accord, who is supposed to be thinking about you
",Your lover
" Which ruler's name translates from the Egyptian for 'Great House'?
",Pharaoh
" 'My Life Would Suck Without You' was a 2009 number one hit for which singer?
",Kelly clarkson
" Brazil has one of the world’s largest soccer stadia – what is it called?
",Maracana
" What instrument did Sherlock Holmes play?
",Violin
" What was Gulliver’s first name?
",Lemuel
" What animal appeared on the back of a nickel from 1913-1938?
",Buffalo
" Albert Finney played ‘Sir’ in which 1983 film?
",The Dresser
" ""Who wrote """"Ann Veronica"""", a novel first published in 1909 that deals with contemporary political issues of the time, concentrating specifically on feminist issues?""
",H G Wells
" In a railway carriage near which city in Northern France did the allies and the Germans sign the Armistice which ended WWI?
",Compiegne
" Which form of strangulation was for years the official method of execution in Spain?
",The Garotte
" ‘Hey, Big Spender’ comes from which musical?
",Sweet charity
" Which Turner Prize-winning artist has an alter-ego named Claire?
",Grayson Perry
" Which 1981 song contains the lyrics "" And I've lost my light. For I toss and turn, I can't sleep at night""?
",Tainted Love
" Aokigahara forest in Japan is noted as a place where many people go for what purpose?
",Commit suicide
" Who played Thelma in the movie Thelma and Louise?
",Gina Davis
" How many banks of oars did an ancient 'Quinquereme' have?
",Five
" Which castle is known as ‘The Key of England’?
",Dover Castle
" Sabena was which country's national airline?
",Belgium
" In George Orwell's 'Animal Farm', what is the name of the loyal but dim-witted cart-horse who carries out many of the orders handed down by 'Napoleon'?
",boxer'
" What computer term is given to a finite set of one or more actions that invoke a software or operating system operation when triggered easily by the user?
",Hotkeys
" Who created the character Kay Scarpetta?
",Patricia cornwell
" What is the real name of John le Carre?
",David cornwell
" What is a female chimpanzee called?
",Empress
" The epitaph for which American singer who died in 1988 was 'The best is yet to come'?
",Frank sinatra
" Which 1932 novel is the most famous work of writer Stella Gibbons?
",Cold Comfort Farm
" In video gaming, what is the name of the princess whom Mario repeatedly stops Bowser from kidnapping?
",Princess Peach
" The Mexican War of Independence 1810-1821 ended colonial rule by which nation, since 1521?
",Spain
" Who was Little Sure Shot according to Sitting Bull
",Annie Oakley
" The main asteroid belt is between Jupiter and which other planet?
",Mars
" Which English football club is nicknamed ‘The Red Devils’?
",Manchester United
" 'Liquor amnii' is normally found in?
",Pregnant women
" In which British city is the University of Strathclyde?
",Glasgow
" ""Of whom, when told he intended to return to private life and retire to his plantation, did King George III say, """"If he does that, he will be the greatest man in the world""""?""
",George Washington
" What is the most widely eaten meat in the world?
",Pork
" Bernis Leadon and Randy Meisner were among the founder members of which American group?
",The Eagles
" Who is the Prime Minister of Italy ?
",Mario monti
" More than a dozen US Presidents belonged to what “secret” society?
",Free Masons
" What country attacked Pearl Harbor in 1941?
",Japan
" Which racecourse hosts the Scottish Grand National?
",Ayr
" Which river forms much of the boundary between Devon and Cornwall?
",Tamar
" What does the largest star on the national flag of Australia represent?
",The Commonwealth
" Who was the first chemist to be Britain's Prime Minister?
",Margaret Thatcher
" British sportswoman Charlotte Cooper, born in 1870, was famous in which sport?
",Tennis
" In the story of Cinderella (the French medieval version, which gave us the modern Western version) what were Cinderella's slippers made from?
",Squirrel fur
" Which national capital is the only city entirely built in the 20th century to be considered a World Heritage Site by UNESCO?
",Brasilia
" What name is given to the traditional dessert served in American Thanksgiving Day?
",Pumpkin pie
" Who was the only King of England to belong to the House of Blois?
",Stephen
" What do we call the point in the orbit of a planet at which the planet is nearest to the Sun?
",Perihelion
" The Angel tube station in London holds the European record for which piece of engineering?
",Longest escalator
" The Prince Edward Islands in the Indian ocean are part of which country?
",South Africa
" 'Fodor' produce books concerned with which activity?
",Travel
" According to mythology, who was rescued by Perseus after being chained to a rock as a sacrifice?
",Andromeda
" What star sign is shared by peter Gabriel and Stevie Wonder?
",Taurus
" In 1979, Lord Louis Mountbatten was killed when a IRA bomb exploded where?
",On his boat
" What was the profession of Ludwig Mies van der Rohe?
",Architect
" When he won the US Open in 2005, which man became only the second New Zealander, after Bob Charles, to win one of golf's major championships?
",Michael campbell
" The 'Numbat' is a small mammal native to which country?
",Australia
" Brougham, Hackney, Buckboard, and Phaeton are horse-drawn vehicles with how many wheels each?
",Four
" Which one word can mean the following: a winning margin in a race, a part of a bottle or other container near the mouth, or a slang term to kiss and caress amorously?
",Neck
" What shark species has the highest number of *recorded* attacks on humans?
",Great White
" What did Edwin Land invent because of his daughters' wish for instant and 'snappy' results?
",Polaroid photography
" St James's Palace in London was commissioned by which British monarch?
",Henry the Eighth
" ""Which British playwright wrote """"Stags and Hens""""?""
",Willy Russell
" Four countries have observer status to the Arab League, which entitles them to express their opinion and give advice but denies them voting rights. They are Eritrea, Brazil, Venezuela and which other?
",India
" Who did Frank Bruno first fight for the Heavyweight Title of the World
",Tim Witherspoon
" Which currently reigning royal family is from the House of Orange?
",Dutch
" Which ancient Roman festival, which ran until the 4th century AD involved sacrifices, partying and owners serving their slaves and was partly subsumed into Christmas?
",Saturnalia
" In 1978 who became the first man in history to score a century and take eight wickets in one innings of Test Match Cricket
",Ian Botham
" Name the Leicester-born world-class goalscorer for Leicester City FC and England who became a hugely successful TV presenter?
",Gary Lineker
" How many different fences are jumped in the Aintree Grand National ?
",Sixteen
" Who directed himself in his last western film in 1992, which also starred Gene Hackman, Morgan Freeman, and Richard Harris?
",Clint Eastwood
" Which manufacturer returned to Formula 1 as a supplier in 1993 and a constructor in 2010 after having withdrawn from the sport in 1955?
",Mercedes
" In which country is the city of Armagh?
",Northern Ireland
" The Vatican erected a statue inside the Vatican's walls of which person who was convicted by the Catholic Church of heresy in 1633 and sentenced to house arrest for life?
",Galileo
" Viti Levu and Vanua Levu are the two major islands that make up which country?
",Fiji
" Who played television character Jason King in the early 1970s?
",Peter Wyngarde
" What sort of animal is 'Marty' in the 'Madagascar' series of animated films?
",Zebra
" Victoria Eugenie the daughter of Princess Beatrice married the King of which European country in 1906?
",Spain
" Mark Renton, Daniel Murphy and Francis Begbie are all characters in which 1993 novel?
",Trainspotting
" In which country is the deepwater ort of Brindisi?
",Italy
" What Jewish-born Prime Minister led the United Kingdom?
",Benjamin Disraeli
" What is the name of the thick soup popular in the southern states of the U.S.A. (One of the main ingredients is okra which gives the dish its smooth silky texture)?
",Gumbo
" What is the administrative centre of Suffolk
",Ipswich
" In the early 1960s, US meteorologist Edward Lorenz worked on computer models of weather systems. What term did he use to describe the variations found?
",Butterfly effect
" Which US comedian was the first celebrity guest to appear as himself in a episode of the US television series ‘Hannah Montana’?
",Larry David
" What subatomic particle has no mass, no electric charge, and a spin of 1?
",Photon
" Who created and wrote the TV series `Downton Abbey'?
",Julian fellowes
" What is the highest reward bestowed by the Royal Horticultural Society?
",Victoria Medal of Honour
" Who presides over a Court Martial?
",Judge Advocate
" What chemical element is named from the French for charcoal?
",Carbon
" The Beaufort scale is used to measure the speed of what?
",Wind
" Deluded by a legend, Francisco Orellana and Gonzalo Pizarro departed from Ecuador in 1541 in a disastrous expedition towards the Amazon Basin; they did not find any gold or lost cities but Orellana became the first person to navigate the entire Amazon River. What were they seeking?
",El Dorado
" Which sporting venue was known for a time as Billy Williams' Cabbage Patch ?
",Twickenham
" All of the gold medals at the 2009 World Rhythmic Gymnastics Championships were won by Evgenia Kanaeva, who was representing which country?
",Russia
" ""Which 1973 Oscar winning actor made his cinema debut in the 1953 film """"It Should Happen to You""""?""
",Jack Lemmon
" Which mode of transport was introduced in 1634 by Sanders Dunscombe
",Sedan chair
" Which writer had a haddock omelette named after him?
",Arnold bennett
" What is the main metallic element in pewter?
",Tin
" Who is Nicole Kidman's husband?
",Keith Urban
" Which admiral assumed command at Trafalgar after the death of Nelson?
",Collingwood
" ""What word is used to denote a summary or miniature form of something, and is also used as a synonym for """"embodiment""""?""
",Epitome
" In which month of the year is Michaelmas?
",September
" The cartoon character 'Flook' appeared in which national newspaper from 1949 to 1984?
",Daily mail
" Who sang the title song for the Bond film You Only Live Twice?
",Nancy Sinatra
" Lack of which vitamin causes scurvy?
",C
" The South Ossetia war was fought between Russia and which other country?
",Georgia
" On a computer keyboard which letter on the same line is immediately right of the O?
",P
" What was the former name of Radio Four
",The Home Service
" Where did Jonathan Swift set his imaginary island of Lilliput?
",Indian Ocean
" Which car manufacturer did Colin McRae win his first WRC title ?
",Subaru
" Statues known as ‘Moai’ stand on which island?
",Easter Island
" What is the science of accurate time measurement called?
",Chronometry
" What would a bicorrate animal have two of
",Horns
" Who is game show host Les Dennis married to
",Amanda Holden
" Born June 11, 1880, Jeanette Rankin, the first woman elected to Congress, represented which Northwestern state?
",Montana
" Which Scottish king was killed at the Battle of Flodden in 1513?
",James IV
" Which king did Henry Bolingbroke depose and then succees as Henry IV in 1399?
",Richard II
" For how long is a US Supreme Court Justice appointed?
",Life
" In which sport is the Middleton Cup awarded?
",Bowls
" What do Ballinsloe in Co. Galway and Appleby in Cumbria have in common?
",Horse Fairs
" What are the patterns called which are applied to the hands of Indian women using Henna?
",Mehndi
" Who was the first composer to appear on English banknotes
",Sir Edward Elgar
" What is a word for the living content of a cell that is surrounded by a plasma membrane?
",Protoplasm
" What is Ralph Lauren's most famous brand?
",Polo
" ""Who directed the films 'Picnic at Hanging Rock"""" and """"Master and Commander: The Far Side of the World'?""
",Peter weir
" Which vegetable is combined with potato in the traditional Scottish dish, clapshot?
",Turnip
" Who was leader of the British Conservative Party  between June 1997 and September 2001?
",William Hague
" What is the alter-ego of the Marvel Comics super-hero Iron Man?
",Tony stark
" Which instrument, with a range of around 4 octaves, has its lowest string tuned to G below middle C, with the others tuned in fifths?
",Violin
" The famous medieval stone landmark in Turkey's largest city is the 'Galata (What?)'?
",Tower
" What was the previous occupation of the pop singer Dave Dee?
",Policeman
" The French word for which colour is jaune?
",Yellow
" Miriam Gonzalez Durantez married which UK politician in 2000?
",Nick Clegg
" How many London Underground stations lie outside the M25 London Orbital motorway?
",Five
" ""Although Stephen Dedalus is an important character in James Joyce's novel, """"Ulysses"""", who is, in fact, the main character in the story?""
",Leopold bloom
" Which English king was the son of Lord Darnley and Mary Queen of Scots?
",James I
" Who wrote the 1957 play 'The Entertainer'?
",John osborne
" What is the minimum age at which someone may fly an aircraft legally
",Seventeen
" Who played Hutch in the TV series 'Starsky and Hutch'?
",David Soul
" A Stableford is a scoring system in which sport?
",Golf
" ""In what country did the movie """"Mad Max"""" take place?""
",Australia
" Who played hitman Martin Q Blank in the 1997 film ‘Grosse Pointe Blank’?
",John Cusack
" Who were Young Gifted and Black in the sixties
",Bob and Marcia
" The 1940 movie The Philadelphia Story starring Cary Grant, Katherine Hepburn and James Stewart was remade in 1956 as which musical?
",High society
" On the London Underground map, what colour is the District Line?
",Green
" What is the biggest city where the Wu dialect is spoken?
",Shanghai
" Which Lancashire railway station was used for much of the'action' in the film 'Brief Encounter'?
",Carnforth
" ""Giovanni Boccaccio, who is best known for his work """"Decameron"""" was involved in what type of activity?""
",Poetry
" Michael Parkinson, James Coburn, Clement Freud and Christopher Lee all appear on which 1973 album cover?
",Band on the Run
" In Hawaii, what does mahalo mean?
",Thank You
" Which African county has its capital in Lusaka?
",Zambia
" In musical notation what is the meaning of the term Da Capo (or DC)?
",Repeat from the beginning
" Which Derbyshire town is famous for having a church with a crooked spire
",Chesterfield
" Which famous two word titled Beatles song did the band The Arctic Monkeys perform at the Opening Ceremony of the 2012 Summer Olympics?
",Come together
" Which fish is included in the ingredients of Worcestershire Sauce?
",Anchovies
" According to the old advert which beer ‘refreshes the parts other beers can’t reach’?
",Heineken
" On 31 October 1984, the English actor Peter Ustinov was waiting to interview which Asian leader when that person was assassinated?
",Indira Gandhi
" What is the common name for your coccyx?
",Tailbone
" Which book includes the characters Dr Primrose, Squire Thornhill and Mr Burchell?
",The Vicar of Wakefield
" What is the title of the 1978 sequel to the 1970 film ‘Love Story’, starring Ryan O’Neal’?
",Oliver’s Story
" On which fictional planet was Superman born?
",Krypton
" Which Greek city was also known as Lacedaemon?
",Sparta
" The band McFly formed a supergroup in 2013 with members of which other band?
",Busted
" Which famous book by Herman Melville opens with the line Call Me Ishmael?
",Moby Dick
" Lake Vanern is the largest lake in which country?
",Sweden
" Which King of England defeated the French at the Battle of Agincourt?
",Henry the Fifth
" Where in the human body, would you find the 'Sartorius Muscle'?
",In the thigh
" What state territory is named in Latin, meaning 'New Scotland'?
",Nova Scotia
" Which Book of the Bible follows Job alphabetically?
",Joel
" What breed of dog was named 'Best in Show' at Crifts in 2015
",Scottish Terrier
" In cycling, what colour jersey is worn by the leader of the Tour of Italy?
",Pink
" Which famous landmark is found on Mount Lee?
",The hollywood sign
" What is the fastest land animal?
",Cheetah
" Which island in the Inner Hebrides became a burial place for several kings of Scotland, Ireland and Norway?
",Iona
" Which US psychologist and writer popularised the carchphrase ‘Turn on, tune in, drop out’?
",Timothy Leary
" Who was the first US astronaut to walk in space?
",Ed White
" ""Who recognised the """"wind of change blowing through Africa""""?""
",Harold macmillan
" Which US President was awarded the Nobel Peace Prize in 1919?
",Woodrow Wilson
" Newstead Abbey is the ancestral home of which poet?
",Lord byron
" At which site did Vita Sackville-West create her 'White Garden'?
",Sissinghurst
" Where would you find Capitoline and Palatine hills?
",Rome
" Which sweets were advertised with the slogan '......... made to make your mouth water'?
",Opal fruits
" What are you if you are hirsute?
",Hairy
" A heptathlon is an athletic contest of how many separate events?
",Seven
" Which heavyweight boxing champion of 1951 shares the same surname as a current Arsenal footballer who has the squad number 14?
",Walcott
" What is studied by a 'Mycologist'?
",Fungi
" What sort of trees belong to the genus 'quercus'?
",Oaks
" How many wives did ‘Coronation Street’s ‘ Mike Baldwin have?
",Four
" Which role in Parliament is held in 2012 by Dominic Grieve?
",Attorney general
" ""Who was President of Uganda from 1971 to 1979 and was depicted in the film """"The Last King Of Scotland""""?""
",Idi Amin
" Oscar Wilde, Adolf Hitler and Jeffrey Archer have all written about their experiences in what?
",Prison
" Which forename is the writer JM Barrie credited with having invented?
",Wendy
" Where on the human body is the lunula?
",Fingernail
" The Hahnenkamm ski-run is part of which ski resort?
",Kitzbuhel
" Who was the first to become 'Prince of Wales'?
",James I
" Which venomous snake is able to dilate its neck into a hood?
",Cobra
" Which domestic appliance was invented by H W Seeley in 1882?
",Electric Iron
" ""Which TV character had the catchphrase """"Listen very carefully; I shall say zis only once""""?""
",Michelle
" Which French World War I general later headed the pro-German Vichy Government in World War II from 1940-1944?
",Henri Petain
" By what name is actress Jennifer Anastassakis better known?
",Jennifer Aniston
" Which gland, secreting a hormone affecting circulation and muscular action, is situated above the kidneys ?
",Adrenal
" Born in Cork in Ireland on July 26th 1927 what was the more famous name of the TV entertainer Daniel Patrick Carroll?
",Danny la rue
" Appropriately, a giant what was put temporarily onto the fourth plinth at London's Trafalgar Square in May 2010?
",Ship in a bottle
" 'The Headhunters' are/were a gang of football hooligans who supported which London club?
",Chelsea
" Which Spanish corporation bought the UK O2 phone corporation in 2005?
",Telefónica
" In the UK television series ‘Sharpe’, starring Sean Bean, what is Sharpe’s first name?
",Richard
" What is the name of the hunter and arch enemy of cartoon character Bugs Bunny?
",Elmer Fudd
" What may be described as 'Clout', 'Lost Head', 'Box', and 'French'?
",Nails
" Digitalis is a genus of about 20 species of herbaceous perennials, shrubs, and biennials that are commonly called ?
",Foxglove
" Which motor manufacturer produces the Duster model?
",Dacia
" Which 1950's UK television puppet's catchphrase was Aw, don't embawass me!
",Lenny the Lion
" November 18, 1869 saw the opening of what lockless waterway, which connects Port Said to Port Tawfik?
",The Suez Canal
" What invention of Mary Quant whose users were subject to raids by the moral police in the 60s was named after her favourite make of car?
",Miniskirt
" What is the title of late singer Roy Orbison’s first UK number hit single?
",Only The Lonely
" Who played Oliver Smallbridge in the eighties Australia sitcom Never The Twain
",Windsor Davies
" Which word completes the title of a collection of keyboard music dated 1722 by Johann Sebastian Bach - The Well-Tempered ______?
",Clavier
" Which writer said ‘Bigamy is having one wife too many. Monogamy is the same’?
",Oscar Wilde
" Teutonic generally historically refers to people of which characteristic?
",Germanic
" If you were watching 'The Richmond Tigers', which sport would they be playing?
",Australian Rules Football
" The magazine 'Private Eye' gave the nickname 'The Bouncing Czech' to which man?
",Robert maxwell
" Marble is a metamorphosed form of which sedimentary rock?
",Limestone
" “From the halls of Montezuma…” is the opening lyric to the official hymn of what branch of the U.S. armed forces?
",Marine Corps
" Roger Moore received a knighthood in 2003 for services to which organisation?
",Unicef
" In zoology, which order of mammals include apes, monkeys, prosimians and man?
",Primates
" Who introduces the weekly jazz music show on Radio 2 every Tuesday evening at 7.00pm?
",Jamie Cullum
" In which city is the book 'The Shadow of the Wind' by Carlos Ruiz Zafon set?
",Barcelona
" What would you be suffering from if you had an ocular contusion
",Black eye
" ""Which band had a hit record in 1980 with """"Smells Like Teen Spirit""""?""
",Nirvana
" What was the name of the character played by Dustin Hoffman in 'The Graduate?
",Benjamin Braddock
" Who sang the title song of the film The Girl Can't Help It?
",Little Richard
" ""Whose hit records include """"I Feel Love"""", Love to Love You Baby"""", """"Starting Over Again"""" and """"On the Radio""""?""
",Donna Summer
" Where was Billy Butlin's first holiday camp
",Skegness
" Which month in 1985 saw the Live Aid concert, organised by Bob Geldof?
",July
" Before he went bald what colour was Winston Churchill's hair
",Red
" What was opera singer Maria Callas' nickname?
",La divina
" What country's economy melted down in 2008 following the collapse of banks Glitnir, Landsbanki and Kaupthing?
",Iceland
" David Moyes played in what position during his football career?
",Centre Half
" Who was the Greek goddess of justice and retribution?
",Nemesis
" Which US bank filed for bankruptcy on September 15th 2008?
",Lehman brothers
" ""Who wrote the """"Sharpe"""" novels?""
",Bernard Cornwell
" Which singer married director Blake Edwards?
",Julie Andrews
" Hindu god Brahma emerged from which part of the body of Vishnu?
",The navel
" The Great Barrier Reef is located off the coast of which Australian state?
",Queensland
" Who played Daisy Duke in the 2005 film The Dukes of Hazzard?
",Jessica Simpson
" Which British Royal Naval officer was known as the ‘Hero of the Nile’?
",Horatio Nelson
" What parts of the human body are surrounded by protective skin called the eponychium and paronychium?
",Nails
" Petra Kvitova won the Wimledon Ladies Championship in 2011. What nationality is she?
",Czech
" What religion is based on the teachings of Laozi?
",Taoism
" Who played The Riddler in the film Batman Forever
",Jim Carrey
" What Scottish patriotic song, used frequently at special occasions and sporting events, was written by a member of the folk group The Corries in 1967?
",Flower of Scotland
" Circumlocution is the term for using several ‘what’ when less or only one will do?
",Words
" Which singer has been known as 'The Red-Headed Stranger' since his 1975 album of that name?
",Willie nelson
" Nintendo's Wii console launched in 2012 is the?
",U
" What is the first name of Eddie ‘The Eagle’ Edwards, who, in 1988, became the first competitor to represent Great Britain in Olympic Ski Jumping?
",Michael
" What word that refers to a rite of passage among aborigines is also the title of an acclaimed 1971 British film that features an urban brother and sister in the Australian outback?
",Walkabout
" Wales won the Rugby Union Six Nations competition in 2013, which country finished bottom?
",France
" What sort of machine was invented in 1879 by the American James Ritty?
",Cash Register
" Which famous tourist attraction can be viewed from the 'Maid Of The Mist'?
",Niagra Falls
" The Austrian schilling was made up of 100 what?
",Groschen
" Who painted The Rake's Progress?
",William Hogarth
" An official investigation as to proof of the US moon landings was demanded in 2015 by?
",Russia
" ""Who played Uncle Jesse on the show """"Full House""""?""
",John Stamos
" What is the vegetable used to make Eggs Florentine?
",Spinach
" Which is the eighth planet from the sun?
",Neptune
" Most commonly what note is the highest pitch open (unfretted) string on a standard/soprano ukulele?
",A
" Who was the Vice President to US President John F Kennedy?
",L B Johnson
" Which river forms a natural border between New York and New Jersey?
",Hudson river
" Who will do anything for love (but he won't do that)?
",Meatloaf
" Rhea and Tethys are moons of which planet?
",Saturn
" According to De Gaulle France had 246 what?
",Cheeses
" New Zealand was named after a province of what country?
",Netherlands
" What name is given to ashield or emblem within a flag?
",Charge
" Who, along with her husband, founded the first birth-control clinic in the UK?
",Marie Stopes
" What is the best known work of Danish-Icelandic sculptor Edvard Eriksen, which he completed in 1913, that sits on a rock in the Copenhagen harbour at Langelinie?
",The Little Mermaid
" Which sports commentator wrote the autobiography Unless I'm Very Much Mistaken?
",Murray Walker
" What formal two-word term refers to the investigation before completing a business investment or acquisition?
",Due diligence
" In medicine which lotion is traditionally used to alleviate the symptoms of chicken pox?
",Calamine lotion
" At which golf course did Europe win the Ryder Cup for the first time in 1985?
",The belfry
" Which TV character referred to his wife as ’Er Indoors?
",Arthur Daley
" How many strings are there on a classical guitar?
",Six
" What is the name of the theatre in Scarborough which has staged the premieres of Alan Ayckbourn's plays?
",Stephen joseph
" Which fruit has varieties called Smooth Cayenne, Red Spanish and Sugarloaf?
",Pineapple
" Which, now ubiquitous, markings first appeared on packs of Wrigley’s chewing gum in 1974?
",Bar codes
" Which author who died in 1998 was the most borrowed author from British libraries for over twenty years?
",Catherine Cookson
" What kind of creature is a fluke?
",Worm
